date,CO2,RH,temp,Air temperature,Wind speed (m/s),Solar radiation , Rain,Plug_Basement,Cooling,Exhaust fan,Heating,IT,Lighting,Plug,PV,Control,Hot_Water,Others,ALL_loads
2022/6/2 20:00,471.0586662,42.83789595,22.7815402,13.5025,0.250000006,1.333333333,1,0.084648923,0.001987733,0.003842867,0.031833999,0.643263237,0.008370717,0.034228565,-0.094980015,0.198649414,0,0.206117462,1.117962902
2022/6/2 21:00,467.901111,42.835271,22.76699858,13.2675,0.157142861,1,1,0.075148057,0.0020057,0.003854517,0.031837899,0.645789385,0.002075983,0.032542548,-0.09526313,0.198495296,0.241661596,0.206580028,1.344727879
2022/6/2 22:00,437.1248856,45.19250008,21.89415409,13.15666667,0.157142861,1,1,0.079424924,0.001999517,0.003887633,0.031878433,0.643115081,0.00522425,0.032213532,-0.098256814,0.205140996,0,0.207042713,1.111670265
2022/6/2 23:00,415.4408848,46.43779158,21.1806486,13.08166667,0.157142861,1,1,0.074399641,0.001998283,0.003900567,0.031911866,0.64112212,0.002093617,0.033062447,-0.098450979,0.203877183,0.0001125,0.207996679,1.102023924
2022/6/3 0:00,410.4297727,46.95266676,20.89308406,13.04916667,0.157142861,1,1,0.044012496,0.002002933,0.0039257,0.032040699,0.642277503,0.002105917,0.032245648,-0.098513716,0.202329932,0.000114,0.208403928,1.07094504
2022/6/3 1:00,407.8418834,47.44035415,20.70214517,12.82666667,0.157142861,1,1,0.057224256,0.002008541,0.003940246,0.032061212,0.642255496,0.002101344,0.03185803,-0.09697609,0.199130735,0.000225738,0.20950634,1.083335848
2022/6/3 2:00,409.7247728,46.00276381,21.08643474,12.3125,0.423076929,1,1,0.082193858,0.001979117,0.003951083,0.032138649,0.644140283,0.002100167,0.03203918,-0.09764864,0.203364747,0.330055271,0.210237047,1.444550762
2022/6/3 3:00,416.764663,44.85738885,21.44589023,12.03916667,0.600000004,1,1,0.073286608,0.002010217,0.00398025,0.032201533,0.64374379,0.002111633,0.032691697,-0.099263447,0.199294747,0.00127385,0.211116212,1.10244709
2022/6/3 4:00,422.7917743,44.6151389,21.58004308,11.88416667,0.520000003,1,1,0.082697923,0.00199235,0.0039551,0.032120932,0.644775045,0.002104283,0.032282847,-0.10096214,0.198839597,0.000592717,0.210445462,1.108844116
2022/6/3 5:00,425.549219,44.39834736,21.66850556,12.02416667,0.667741938,4.833333333,1,0.074502224,0.001990917,0.003930133,0.032027782,0.644177156,0.00597575,0.032130632,-0.101192827,0.199006865,0.000457083,0.209089728,1.102095443
2022/6/3 6:00,425.2768851,44.48472226,21.68335831,12.655,0.216666672,35.66666667,1,0.080493341,0.0019904,0.003948933,0.032171632,0.644939458,0.00211035,0.031991848,-0.096799294,0.199200049,0.0010209,0.210533146,1.111600763
2022/6/3 7:00,424.7606621,44.59788895,21.67085562,13.0025,0.24444445,51.75,1,0.083937174,0.002006183,0.003934667,0.032062982,0.642330666,0.00805055,0.085760725,0.14592508,0.19876423,0.328968331,0.210042946,1.741783534
2022/6/3 8:00,434.0151074,44.14804165,21.80616806,13.8,0.603333336,77,1,0.066052493,0.00199485,0.0039548,0.032101299,0.641875391,0.00209635,0.124484121,0.747052727,0.198892531,0.00079825,0.209436863,2.028739675
2022/6/3 9:00,449.4489965,43.94643071,21.90364178,13.59333333,0.512121216,88,1,0.037225596,0.001991633,0.003894917,0.032000382,0.659480297,0.006801633,0.108107806,1.04413003,0.199145296,0.000117167,0.208120378,2.301015135
2022/6/3 10:00,466.6239962,43.8314166,21.97214035,13.89333333,0.433333341,134.4166667,1,0.07975194,0.00198685,0.00391155,0.032038715,0.675276757,0.002096267,0.121511271,1.694892031,0.198474382,0.00011575,0.208932461,3.018987974
2022/6/3 11:00,485.9998869,43.52408322,22.09230839,15.88166667,0.183333337,277.4166667,1,0.080588539,0.002002667,0.003926783,0.032083082,0.675456596,0.002109683,0.123816754,3.675992845,0.200657031,0,0.208701896,5.005335876
2022/6/3 12:00,499.2227754,43.22930568,22.18336517,16.68583333,0.53913044,262.5,1,0.080208508,0.001998267,0.003910083,0.031910299,0.670698117,0.002113883,0.122725106,3.263215713,0.199352148,0.243822501,0.208692262,4.828646887
2022/6/3 13:00,505.6847762,42.96726387,22.3003708,19.72833333,0.854285712,473.3333333,1,0.080919474,0.002013933,0.003937183,0.03197065,0.674645087,0.0021199,0.125369421,5.618836423,0.199240782,0.004767333,0.209285063,6.953105249
2022/6/3 14:00,508.9018872,42.59965976,22.4825389,22.43416667,1.178571441,577.0833333,1,0.073974791,0.0020086,0.00394795,0.032082032,0.673821687,0.00212845,0.062334811,7.031200115,0.199133564,0.335237688,0.209999529,8.625869217
2022/6/3 15:00,524.7280279,42.60049977,22.67278621,23.66916667,1.044117647,612.25,1,0.084656973,0.002004933,0.003963817,0.032013116,0.675786762,0.002122767,0.039410897,7.002112597,0.198922464,0.686352291,0.209298564,8.936645181
2022/6/3 16:00,556.1091303,42.91468748,22.81330559,21.76166667,0.849999997,461.5833333,1,0.073816475,0.002018183,0.00391685,0.031937082,0.674170866,0.0021129,0.032352381,5.936345207,0.199412997,0.342391178,0.208097296,7.506571415
2022/6/3 17:00,537.3077769,42.8614235,22.95385281,18.90166667,0.852173922,401.4166667,1,0.078705324,0.002003,0.0039206,0.031881549,0.671665651,0.002111,0.032558465,5.428037532,0.199245747,0.00011125,0.208165212,6.65840533
2022/6/3 18:00,514.9081112,43.18976386,22.95665976,16.51,1.058823547,99.75,1,0.079914206,0.0020212,0.0039074,0.031971833,0.674358834,0.00246725,0.032655681,1.712209259,0.199123882,0.243370185,0.208814328,3.190814058
2022/6/3 19:00,499.7355547,43.32529151,22.91314042,14.70833333,0.72857143,14.5,1,0.07807279,0.002004833,0.003945667,0.032016066,0.656829495,0.015341432,0.032458798,0.010800332,0.198761578,0.0003455,0.210140029,1.24071652
2022/6/3 20:00,484.9949998,43.41943745,22.88159304,13.72833333,0.94230769,1,1,0.051656127,0.001997917,0.003893467,0.031860999,0.642530357,0.00538925,0.032151332,-0.095976161,0.19845083,0.000114167,0.207451379,1.079519664
2022/6/3 21:00,478.0705557,43.45455552,22.85598906,13.6625,0.94230769,1,1,0.047116362,0.002001717,0.0038792,0.031915299,0.643474391,0.002084783,0.032417032,-0.094141153,0.19859243,0,0.207053581,1.074393642
2022/6/3 22:00,440.4817749,46.35607637,21.93220549,13.35,0.94230769,1,1,0.084613774,0.002003417,0.003897917,0.031951149,0.644479263,0.00209145,0.032843681,-0.098136228,0.203193419,0,0.207623978,1.11456182
2022/6/3 23:00,413.3569947,47.90790274,21.11085555,13.165,0.94230769,1,1,0.076334307,0.002005333,0.003915683,0.032049416,0.641711103,0.0020996,0.032672514,-0.09777447,0.20584549,0.000206833,0.208732795,1.107798604
